CRIME REVIEW FOR THE MONTH OF OCTOBER - 2024 (As on  02/11/2024),,,,,,,
Sl. No.,Heads Of Crime,Major Head,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,28,0,2,3
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,20,3,1,2
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,21,2,2,0
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,13,2,0,0
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,11,1,2,1
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1,0,0,0
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,1,0,0,0
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,0,0,0
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,22,1,1,3
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,49,3,5,4
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,0
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,21,0,3,2
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,8,1,0,0
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,51,10,6,7
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,89,10,12,9
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0
